// Timecyc modification v0.1 by gtadrive https://libertycity.ru/user/gtadrive/
// Big thanks to fastman92's In-game Timecyc Editor 1.8 which has played important role in release of this timecyc

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
21 25 31	207 229 255	255 255 255	15 29 47	19 29 31	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	0 0 0	0 0 0	63 111 127 191	127 0 0 0	127 0 0 0	0 0 0 1
//5AM
27 29 31	233 247 255	255 255 255	179 225 249	75 81 95	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	0 0 0	0 0 0	63 111 127 191	127 0 0 0	127 0 0 0	0 0 0 1
//6AM
31 27 23	255 235 225	255 255 255	149 107 83	203 139 103	127 127 127	127 127 127	10 0.5 1 127 63 0 3000 100 0.5	0 0 0	0 0 0	63 111 127 191	127 127 63 0	127 0 0 0	0 0 0 1
//7AM
47 53 63	223 239 255	255 255 255	63 79 127	175 211 255	127 127 127	127 127 127	10 0.5 0.1 191 0 191 3000 100 0	0 0 0	0 0 0	127 223 255 191	127 127 107 63	127 0 0 0	0 0 10 1
//Midday
43 47 63	211 223 255	255 255 255	47 63 128	127 159 191	127 127 127	127 127 127	5 0.5 0.1 191 0 191 3000 100 0	0 0 0	0 0 0	127 223 255 191	127 127 95 31	127 0 0 0	0 0 0 1
//7PM
25 29 31	239 247 255	255 255 255	127 143 159	191 183 159	127 127 127	127 127 127	10 0.5 0.1 191 0 191 3000 100 0	0 0 0	0 0 0	127 223 255 191	127 127 95 47	127 0 0 0	0 0 0 1
//8PM
31 23 15	255 235 227	255 255 255	159 111 95	191 143 115	0 0 0	0 0 0	10 0.5 0.1 191 0 0 3000 100 0	0 0 0	0 0 0	127 223 255 191	127 127 63 0	127 0 0 0	0 0 0 1
//10PM
23 29 31	239 247 255	255 255 255	179 223 247	103 111 119	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	0 0 0	0 0 0	63 111 127 191	127 0 0 0	127 0 0 0	0 0 0 1
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
21 25 31	207 229 255	255 255 255	15 29 47	19 29 31	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	7 7 7	255 255 255	63 111 127 191	127 0 0 0	127 0 0 0	7 7 0 1
//5AM
27 29 31	233 247 255	255 255 255	179 225 249	75 81 95	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	15 11 7	255 255 255	63 111 127 191	127 0 0 0	127 0 0 0	31 31 0 1
//6AM
31 27 23	255 235 225	255 255 255	149 107 83	203 139 103	127 127 127	127 127 127	10 0.5 1 127 63 0 3000 100 0.5	15 15 15	255 255 255	63 111 127 191	127 63 31 0	127 0 0 0	31 31 0 1
//7AM
47 53 63	223 239 255	255 255 255	63 79 127	175 211 255	127 127 127	127 127 127	10 0.5 0.1 191 0 191 3000 100 0	15 11 7	255 255 255	127 223 255 191	127 63 53 31	127 0 0 0	31 31 10 1
//Midday
43 47 63	211 223 255	255 255 255	47 63 128	127 159 191	127 127 127	127 127 127	5 0.5 0.1 191 0 191 3000 100 0	15 11 7	255 255 255	127 223 255 191	127 63 47 15	127 0 0 0	31 31 0 1
//7PM
25 29 31	239 247 255	255 255 255	127 143 159	191 183 159	127 127 127	127 127 127	10 0.5 0.1 191 0 191 3000 100 0	15 15 15	255 255 255	127 223 255 191	127 63 47 23	127 0 0 0	31 31 0 1
//8PM
31 23 15	255 235 227	255 255 255	159 111 95	191 143 115	0 0 0	0 0 0	10 0.5 0.1 191 0 0 3000 100 0	15 15 15	255 255 255	127 223 255 191	127 63 31 0	127 0 0 0	31 31 0 1
//10PM
23 29 31	239 247 255	255 255 255	179 223 247	103 111 119	0 0 0	0 0 0	10 0.5 1 127 63 0 3000 100 0.5	15 11 7	255 255 255	63 111 127 191	127 0 0 0	127 0 0 0	31 31 0 1
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
